Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Competition,Suggested bid,Impr. share,Organic impr. share,Organic avg. position,In account?,In plan?,Extracted From
Seed Keywords,olive oil,USD,110000,0.55,0.63,,,,N,N,
Keyword Ideas,olive oil for face,USD,12100,0.49,0.46,,,,N,N,
Keyword Ideas,extra virgin olive oil,USD,27100,0.55,0.56,,,,N,N,
Keyword Ideas,bariani olive oil,USD,720,0.89,1.02,,,,N,N,
Keyword Ideas,organic olive oil,USD,2400,1,0.85,,,,N,N,
Keyword Ideas,best olive oil,USD,5400,0.54,0.73,,,,N,N,
Keyword Ideas,virgin olive oil,USD,4400,0.58,0.43,,,,N,N,
Keyword Ideas,greek olive oil,USD,1600,0.92,0.91,,,,N,N,
Keyword Ideas,olive oils,USD,1300,0.6,1.39,,,,N,N,
Keyword Ideas,buy olive oil,USD,480,1,0.78,,,,N,N,
Keyword Ideas,italian olive oil,USD,880,0.88,1.18,,,,N,N,
Keyword Ideas,best extra virgin olive oil,USD,1300,0.58,0.66,,,,N,N,
Keyword Ideas,olive oil price,USD,1900,0.89,0.49,,,,N,N,
Keyword Ideas,spanish olive oil,USD,880,0.98,1.1,,,,N,N,
Keyword Ideas,olive oil brands,USD,1600,0.54,0.51,,,,N,N,
Keyword Ideas,pure olive oil,USD,1900,0.91,0.61,,,,N,N,
Keyword Ideas,olive oil prices,USD,590,0.82,0.7,,,,N,N,
Keyword Ideas,olive oil benefits,USD,14800,0.36,0.13,,,,N,N,
Keyword Ideas,cooking with olive oil,USD,2900,0.06,0.32,,,,N,N,
Keyword Ideas,olive oil online,USD,880,1,0.51,,,,N,N,
Keyword Ideas,olive oil nutrition facts,USD,1900,0.01,0.53,,,,N,N,
Keyword Ideas,olive oil extra virgin,USD,1000,0.74,0.47,,,,N,N,
Keyword Ideas,borges olive oil,USD,1900,0.85,0.23,,,,N,N,
Keyword Ideas,olive oil for skin,USD,14800,0.6,1.02,,,,N,N,
Keyword Ideas,colavita olive oil,USD,1600,0.88,0.33,,,,N,N,
Keyword Ideas,wholesale olive oil,USD,260,0.98,1.38,,,,N,N,
Keyword Ideas,buy olive oil online,USD,480,1,0.57,,,,N,N,
Keyword Ideas,benefits of olive oil,USD,8100,0.33,0.07,,,,N,N,
Keyword Ideas,pompeian olive oil,USD,1900,0.61,0.23,,,,N,N,
Keyword Ideas,olive oil for cooking,USD,3600,0.6,0.27,,,,N,N,
Keyword Ideas,pomace olive oil,USD,2900,0.46,0.51,,,,N,N,
Keyword Ideas,olive oil for sale,USD,210,1,0.92,,,,N,N,
Keyword Ideas,unfiltered olive oil,USD,590,0.56,0.63,,,,N,N,
Keyword Ideas,cheap olive oil,USD,210,1,0.93,,,,N,N,
Keyword Ideas,best olive oil for cooking,USD,1300,0.57,0.27,,,,N,N,
Keyword Ideas,best olive oils,USD,590,0.52,0.91,,,,N,N,
Keyword Ideas,olive oil organic,USD,260,0.84,0.89,,,,N,N,
Keyword Ideas,olive oil uses,USD,2400,0.24,0.16,,,,N,N,
Keyword Ideas,good olive oil,USD,480,0.58,0.51,,,,N,N,
Keyword Ideas,kalamata olive oil,USD,390,0.87,0.7,,,,N,N,
Keyword Ideas,olive oil importers,USD,170,0.69,0.45,,,,N,N,
Keyword Ideas,olive oil reviews,USD,480,0.51,0.65,,,,N,N,
Keyword Ideas,price of olive oil,USD,390,0.99,0.46,,,,N,N,
Keyword Ideas,olive oil can,USD,390,0.8,0.49,,,,N,N,
Keyword Ideas,olive oil wholesale,USD,210,1,1.14,,,,N,N,
Keyword Ideas,olive oil source,USD,390,0.12,0.79,,,,N,N,
